Training Loss,Val Loss,Val MAE,Val R2,Val Dimensional Accuracy
0.0011942787718770419,0.0005643867120004685,0.012992830110146068,0.9706673269470454,0.561864406779661
0.0006563131369286125,0.00046614675537951417,0.011765430861468905,0.9764693062168132,0.5639830508474576
0.0005484906910031427,0.0003915569253692056,0.010876830832717519,0.9799779009048569,0.5703389830508474
0.0004886762509903002,0.00033873624828845356,0.01005825368497349,0.9825918806787205,0.5707627118644067
0.0004748848722363508,0.0003568209666301007,0.010891215282926924,0.9818207040625092,0.5669491525423729
0.00045691904454019317,0.00031221385086270965,0.009594275156873125,0.9833481817472283,0.5775423728813559
0.0004077815342084663,0.0003945736785372916,0.010327954364901554,0.9780476822123578,0.5779661016949152
0.0004301723354067442,0.00027899495725543634,0.009288121846228762,0.9851163816887405,0.5805084745762712
0.00039611392722607974,0.00026773739489233437,0.00894779956109587,0.9854902006325088,0.5809322033898305
0.00036764960984300796,0.0002585379396450816,0.0088897209682712,0.9862927655909877,0.5817796610169491
0.00031913574446551854,0.0002283306796078065,0.008434958805508173,0.9876422378608328,0.586864406779661
0.0003411408930939312,0.00021068294356494226,0.008007004304398819,0.9886122117190975,0.5864406779661017
0.0003609940980216682,0.0011762626155775821,0.010337500297476763,0.927049867688998,0.5923728813559322
0.0007328667279304655,0.00044272218705589047,0.010274044690879114,0.9744916558975696,0.5733050847457627
0.0004665305205945157,0.00026445521380391243,0.00889441498203284,0.985172565398053,0.5796610169491525
0.00033767165620123376,0.0002383714006085075,0.008638489278246968,0.9870901630325856,0.5813559322033899
0.00030807466111692713,0.0001959088984314526,0.00786564505701713,0.9888282730680813,0.5923728813559322
0.0002777378553163902,0.0001932328239614065,0.008161861806729575,0.9886006162734822,0.5970338983050848
0.0002723132181265762,0.00017628695027038487,0.007744623065970037,0.9897462714878817,0.5940677966101695
0.0002774094832189307,0.00017609012460432773,0.007419576148526699,0.989731228029126,0.5987288135593221
0.0002378441275168646,0.00014337982826518936,0.006780095915894628,0.9918816244816109,0.5991525423728814
0.0002500084480991725,0.00016244130481135146,0.007204218807157181,0.9903346127961986,0.6059322033898306
0.0002523314991583792,0.00012034154265242929,0.006440744308818435,0.9930405413789781,0.6050847457627119
0.0002216636049166537,0.0001420239292201586,0.006803889179681684,0.9915392142559907,0.6055084745762712
0.0002183337999557614,0.00012270988856039752,0.0064538179033646025,0.9928209637403934,0.6067796610169491
0.00021913984911600093,0.0001197026683149812,0.0063691165009281655,0.9931534588633952,0.601271186440678
0.00023550362381931998,0.00012440720320998897,0.00640180926224645,0.9928414882935508,0.6025423728813559
0.00020921032990951392,0.00010651683949587187,0.006025895312878844,0.9937837573290434,0.6080508474576272
0.00021697716822404112,0.00010683836935332708,0.006127199306366353,0.9938515024510657,0.6055084745762712
0.00021143147756502555,0.00009938897545275799,0.005867890040382794,0.9942962427117801,0.6050847457627119
0.00020925958678521002,0.00009302104754478007,0.0056912857661407515,0.9945523421710485,0.6127118644067797
0.00021157544389979827,0.0001241154172946107,0.0060577358911529195,0.9925713400134161,0.6072033898305085
0.0002007581033191827,0.00009245001313856692,0.005739442828238125,0.994554590299431,0.6072033898305085
0.0001717500293359604,0.00009053179412642178,0.005515636735256875,0.9947510448666129,0.6055084745762712
0.0001924339550662284,0.00012054212435278883,0.006005525922758399,0.9929691757270331,0.6059322033898306
0.00018578853161505486,0.00010120570112090811,0.005627371803218582,0.9939771303580854,0.6080508474576272
0.0001785787167067831,0.00007354228619695247,0.005142574888662439,0.9957240439815769,0.6084745762711864
0.00020140820366908554,0.00008078626293138506,0.005310857580825233,0.9952774933283732,0.6097457627118644
0.00018871312698992728,0.00007469346130195753,0.005059162557228188,0.9956703858838397,0.6088983050847457
0.0001504824641883853,0.00007075041155646539,0.005029801745867945,0.9959121590210858,0.6093220338983051
0.00016366303311149915,0.00007873177339699735,0.00510219711075602,0.9954226494257221,0.6088983050847457
0.00018758110398018536,0.0000724626294020524,0.004927244161414002,0.995754934912956,0.6097457627118644
0.00015885334068750097,0.00008154345302762645,0.005082899320910594,0.9950638122214152,0.614406779661017
0.0001529198609728844,0.00007249980839857264,0.004892261921720662,0.995681797139015,0.6097457627118644
0.00014030500538507167,0.00008333667386885559,0.0052890362017871855,0.9951695753208871,0.6033898305084746
0.00017410836388383663,0.00008667152094056877,0.005318656703568225,0.9949341364025847,0.6084745762711864
0.00013926794378510914,0.00007859072288507162,0.005072421378491079,0.9952213223822611,0.6148305084745763
0.0001509077640024991,0.0000696733770290216,0.004749768497375476,0.9958283109534014,0.610593220338983
0.00014106896197297442,0.000055850670894684854,0.004442493053820573,0.9966247335461925,0.6161016949152542
0.00015066128976699971,0.00005830772567867948,0.004369131015069581,0.9964798681780843,0.6152542372881356
0.00015420140162501465,0.0000707049943014419,0.004685032557929428,0.9956866089878161,0.6148305084745763
0.00014214488456590598,0.00006121057205314558,0.004514483395276761,0.9962688041973854,0.6173728813559322
0.00013309162963967978,0.00004787801702504867,0.004125046654581191,0.9971346013983495,0.6165254237288136
0.00013060324376414374,0.00006798957696508111,0.004694564682438918,0.9960315307669035,0.6101694915254238
0.0001464592122291916,0.00005830583062468854,0.004597112133428632,0.9966419684456153,0.6114406779661017
0.00013380989988339328,0.00005092075929095992,0.00430098323010143,0.9969124878772554,0.6177966101694915
0.00012108698574179884,0.00006716960408577845,0.00437000135088811,0.995894864401914,0.6186440677966102
0.00012446806719405382,0.00005797155314767378,0.004305255268337856,0.9964796158796395,0.6152542372881356
